"lhs","rhs","support","confidence","lift","count","pname"
"20119,22556,26620",44632,0.000124511246016705,0.888513513513513,24.7314480344272,263,"Sparkling Lemon Water"
"20119,21709,22556",44632,0.000107467881542936,0.88671875,24.6814914497569,227,"Sparkling Water Grapefruit"
"20119,22556,35221",44632,0.000119303551316387,0.91970802919708,25.5997359466014,252,"Kiwi Sandia Sparkling Water"
"21709,22556,26620",44632,0.000125931526389519,0.855305466237942,23.8071142082899,266,"Sparkling Water Grapefruit"
"22556,26620,35221",44632,0.000140607756908599,0.818181818181818,22.7737910693792,297,"Kiwi Sandia Sparkling Water"
"21709,22556,35221",44632,0.000161911962500811,0.822115384615385,22.8832804495204,342,"Sparkling Water Grapefruit"
"21709,39947,45747",12576,0.000164279096455501,0.820330969267139,189.413147443511,347,"Sparkling Water Grapefruit"
"20119,26620,45747",44632,0.000142974890863289,0.803191489361702,22.3565407601884,302,"Sparkling Water Grapefruit"
"20119,21709,45747",44632,0.000119776978107325,0.85472972972973,23.7910887935744,253,"Sparkling Water Grapefruit"
"20119,35221,45747",44632,0.000132559501462652,0.840840840840841,23.4044966612239,280,"Sparkling Water Grapefruit"
"21709,26620,45747",44632,0.000144868598027041,0.831521739130435,23.145102880293,306,"Sparkling Water Grapefruit"
"26620,35221,45747",44632,0.000170907071528634,0.853427895981087,23.754852728265,361,"Sparkling Water Grapefruit"
"14947,21709,45747",44632,0.000108414735124812,0.82078853046595,22.8463479505242,229,"Lime Sparkling Water"
"14947,35221,45747",44632,0.000112675576243254,0.838028169014085,23.3262069716881,238,"Sparkling Water Grapefruit"
"21709,35221,45747",44632,0.000184636448465837,0.809128630705394,22.5217989137014,390,"Lime Sparkling Water"
"12576,20119,21709",44632,0.000136346915790156,0.829971181556196,23.1019436784481,288,"Sparkling Water Grapefruit"
"12576,21709,26620",44632,0.000169960217946757,0.829099307159353,23.0776753741284,359,"Lime Sparkling Water"
"12576,26620,35221",44632,0.000192211277120845,0.800788954635108,22.2896670865324,406,"Sparkling Water Grapefruit"
"12576,14947,21709",44632,0.000109835015497626,0.805555555555556,22.4223436763332,232,"Sparkling Water Grapefruit"
"20119,21709,39947",44632,0.000123564392434829,0.823343848580442,22.9174742937917,261,"Sparkling Water Grapefruit"
"20119,35221,39947",44632,0.000131612647880776,0.829850746268657,23.0985914063554,278,"Sparkling Water Grapefruit"
"21709,26620,39947",44632,0.000135873488999218,0.810734463276836,22.5664966748368,287,"Kiwi Sandia Sparkling Water"
"26620,35221,39947",44632,0.000178008473392704,0.812095032397408,22.6043676176991,376,"Sparkling Water Grapefruit"
"14947,35221,39947",44632,0.000104627320797308,0.806569343065693,22.4505620801544,221,"Lime Sparkling Water"
"14947,20119,21709",44632,0.000427504392217053,0.814981949458484,22.6847238961235,903,"Sparkling Water Grapefruit"
"14947,20119,35221",44632,0.000404306479461089,0.817224880382775,22.7471550564325,854,"Sparkling Water Grapefruit"
"14947,21709,26620",44632,0.000378268005959496,0.82201646090535,22.8805269443043,799,"Lime Sparkling Water"
"14947,26620,35221",44632,0.000389630248942009,0.830474268415742,23.1159469168169,823,"Sparkling Water Grapefruit"
"20119,26620,39947,45747",12576,0.000105100747588246,0.877470355731225,202.60654308335,222,"Sparkling Water Grapefruit"
"12576,20119,26620,39947",45747,0.000105100747588246,0.828358208955224,248.18540171483,222,"Sparkling Water Grapefruit"
"12576,20119,39947,45747",44632,0.000122144112062015,0.829581993569132,23.0911107734541,258,"Sparkling Water Grapefruit"
"20119,39947,44632,45747",12576,0.000122144112062015,0.826923076923077,190.935254868656,258,"Sparkling Water Grapefruit"
"26620,35221,39947,45747",12576,0.000115516136988883,0.859154929577465,198.377539614601,244,"Sparkling Water Grapefruit"
"26620,39947,44632,45747",12576,0.000148182585563607,0.836898395721925,193.238540495103,313,"Kiwi Sandia Sparkling Water"
"21709,35221,39947,45747",12576,0.000124984672807643,0.888888888888889,205.243064665015,264,"Sparkling Water Grapefruit"
"12576,21709,39947,45747",44632,0.000136820342581094,0.832853025936599,23.1821587606649,289,"Kiwi Sandia Sparkling Water"
"21709,39947,44632,45747",12576,0.000136820342581094,0.860119047619048,198.600152973848,289,"Lime Sparkling Water"
"12576,20119,26620,45747",44632,0.000112675576243254,0.840989399293286,23.4086317313053,238,"Sparkling Water Grapefruit"
"12576,20119,35221,45747",44632,0.000102733613633555,0.857707509881423,23.8739742128275,217,"Sparkling Water Grapefruit"
"12576,21709,26620,45747",35221,0.000110308442288564,0.832142857142857,37.7626700314896,233,"Kiwi Sandia Sparkling Water"
"21709,26620,35221,45747",12576,0.000110308442288564,0.800687285223368,184.877451289749,233,"Sparkling Water Grapefruit"
"12576,21709,26620,45747",44632,0.000115989563779821,0.875,24.3553043380861,245,"Kiwi Sandia Sparkling Water"
"21709,26620,44632,45747",12576,0.000115989563779821,0.800653594771242,184.869672216649,245,"Kiwi Sandia Sparkling Water"
"12576,26620,35221,45747",44632,0.00013303292825359,0.880877742946709,24.5189091589868,281,"Kiwi Sandia Sparkling Water"
"12576,21709,35221,45747",44632,0.000141081183699537,0.837078651685393,23.2997775048143,298,"Kiwi Sandia Sparkling Water"
"20119,26620,39947,45747",44632,0.000103680467215431,0.865612648221344,24.0940108415171,219,"Sparkling Water Grapefruit"
"26620,35221,39947,45747",44632,0.000121197258480139,0.901408450704225,25.0903738855132,256,"Curate Melon Pomelo Sparking Water"
"21709,35221,39947,45747",44632,0.000121670685271077,0.865319865319865,24.0858613367508,257,"Kiwi Sandia Sparkling Water"
"21709,26620,35221,45747",44632,0.000122144112062015,0.88659793814433,24.6781286960283,258,"Sparkling Water Grapefruit"
"21709,26620,44632,45747",35221,0.000122144112062015,0.843137254901961,38.2615961608293,258,"Sparkling Water Grapefruit"
"12576,20119,26620,39947",44632,0.000108414735124812,0.854477611940298,23.7840711872994,229,"Sparkling Water Grapefruit"
"12576,20119,35221,39947",44632,0.000100366479678865,0.868852459016393,24.1841897877014,212,"Sparkling Water Grapefruit"
"12576,21709,26620,39947",35221,0.000104153894006369,0.842911877394636,38.251368522187,220,"Sparkling Water Grapefruit"
"12576,21709,26620,39947",44632,0.00010888816191575,0.881226053639847,24.5286042594846,230,"Sparkling Water Grapefruit"
"21709,26620,39947,44632",12576,0.00010888816191575,0.801393728222996,185.040567881786,230,"Sparkling Water Grapefruit"
"12576,26620,35221,39947",44632,0.00013303292825359,0.856707317073171,23.8461342125512,281,"Sparkling Water Grapefruit"
"12576,21709,35221,39947",44632,0.000139660903326723,0.85014409221902,23.6634492539659,295,"Sparkling Water Grapefruit"
"12576,20119,21709,35221",44632,0.000104627320797308,0.887550200803213,24.7046345781619,221,"Sparkling Water Grapefruit"
"12576,21709,26620,35221",44632,0.000137293769372033,0.870870870870871,24.2403715419819,290,"Sparkling Water Grapefruit"
"12576,21709,26620,44632",35221,0.000137293769372033,0.807799442896936,36.6579650980544,290,"Sparkling Water Grapefruit"
"20119,21709,35221,39947",44632,0.000101313333260741,0.90295358649789,25.1333821740828,214,"Sparkling Water Grapefruit"
"20119,21709,39947,44632",35221,0.000101313333260741,0.81992337164751,37.2081493806728,214,"Sparkling Water Grapefruit"
"21709,26620,35221,39947",44632,0.000115516136988883,0.884057971014493,24.607429641793,244,"Sparkling Water Grapefruit"
"21709,26620,39947,44632",35221,0.000115516136988883,0.850174216027875,38.5809336865213,244,"Sparkling Water Grapefruit"
"21709,26620,35221,49520",44632,0.000105100747588246,0.822222222222222,22.8862542351539,222,"Sparkling Water Grapefruit"
"14947,20119,21709,26620",44632,0.000238133675841836,0.876306620209059,24.3916736327671,503,"Sparkling Water Grapefruit"
"14947,20119,26620,35221",44632,0.00021540918987681,0.873320537428023,24.308557112869,455,"Sparkling Water Grapefruit"
"20119,21709,26620,35221",44632,0.000373060311259178,0.841880341880342,23.4334307917116,788,"Sparkling Water Grapefruit"
"14947,20119,21709,35221",44632,0.000293051183590649,0.868162692847125,24.1649903991589,619,"Sparkling Water Grapefruit"
"14947,21709,26620,35221",44632,0.000281688940608136,0.884101040118871,24.6086284545298,595,"Kiwi Sandia Sparkling Water"
"12576,26620,35221,39947,45747",44632,0.000104627320797308,0.905737704918033,25.2108770900095,221,"Sparkling Water Grapefruit"
"26620,35221,39947,44632,45747",12576,0.000104627320797308,0.86328125,199.330300595075,221,"Sparkling Water Grapefruit"
"12576,21709,35221,39947,45747",44632,0.00010888816191575,0.871212121212121,24.2498701201723,230,"Sparkling Water Grapefruit"
"21709,35221,39947,44632,45747",12576,0.00010888816191575,0.894941634241245,206.640634171489,230,"Sparkling Water Grapefruit"
"14947,20119,21709,26620,35221",44632,0.000175167912647076,0.900243309002433,25.0579425932342,370,"Sparkling Water Grapefruit"
"14947,20119,26620,35221,44632",21709,0.000175167912647076,0.813186813186813,52.3868843734038,370,"Sparkling Water Grapefruit"
